Estación;Estado;Código ROEA;Situación
LAS NAVAS;Alta;9839;Embalse
LA SOTONERA;Alta;9838;Embalse
LAS TORCAS;Alta;9124;Río
LAS TORCAS;Alta;9814;Embalse
LA TORRASA;Baja;9857;Embalse
LA TRANQUERA;Alta;9812;Embalse
LA VIOLADA;Alta;9430;Conduccion
LECINA;Alta;9046;Río
LÉRIDA;Alta;9024;Río
LEZA DE RÍO LEZA;Alta;9197;Río
LIÉDENA;Alta;9065;Río
LINSOLES;Baja;9864;Embalse
LLAUSET;Alta;9866;Embalse
LLAVORS - CARDÓS ( CENTRAL );Baja;9431;Conduccion
LLESP;Baja;9131;Río
LODOSA;Baja;9053;Río
LODOSA;Alta;9401;Conduccion
LOGROÑO;Alta;9280;Río
LOS FAYOS;Baja;9090;Río
LOS FAYOS;Alta;9174;Río
LUESIA;Alta;9303;Río
LUMBRERAS;Alta;9142;Río
LUNA;Alta;9291;Río
MAIDEVERA;Alta;9808;Embalse
MAIDEVERA C. E.;Alta;9236;Río
MAIDEVERA C. E.;Alta;9294;Río
MAIDEVERA P. P.;Alta;9238;Río
MANSILLA;Alta;9034;Río
MANSILLA;Alta;9809;Embalse
MAÑERU ( CENTRAL );Alta;9450;Conduccion
MARAÑÓN;Alta;9006;Río
MARTES;Alta;9282;Río
MATAMOROSA;Alta;9202;Río
MATARRAÑA - PENA;Alta;9458;Conduccion
MATAUCO;Baja;9204;Río
MAYOR;Baja;9442;Conduccion
MEDIANO;Alta;9846;Embalse
MEDINA DE POMAR;Alta;9254;Río
MENDAVIA;Alta;9120;Río
MENDÍVIL;Alta;9315;Río
MEQUINENZA;Baja;9029;Río
MEQUINENZA;Alta;9803;Embalse
MEZALOCHA;Alta;9105;Río
MEZALOCHA;Baja;9813;Embalse
MEZALOCHA DCHA.;Alta;9408;Conduccion
MEZALOCHA IZDA.;Alta;9409;Conduccion
MILAGRO;Baja;9054;Río
MIRANDA DE EBRO;Alta;9001;Río
MIRANDA DE EBRO;Alta;9165;Río
MOLETA DE RONI;Baja;9235;Río
MOLINAR;Baja;9425;Conduccion
MOLINO ( ACEQUIA ) EN LARRINOA;Baja;9437;Conduccion
MOLINO DE GISTAÍN;Baja;9171;Río
MONEGROS EN LA SOTONERA;Alta;9421;Conduccion
MONESTIR;Baja;9098;Río
MONEVA;Baja;9141;Río
MONEVA;Alta;9815;Embalse
MONEVA - C. E.;Baja;9138;Río
MONEVA - P. P.;Alta;9168;Río
MONREAL DE ARIZA;Alta;9147;Río
MONTEAGUDO DE LAS VICARÍAS;Alta;9807;Embalse
MONTEAGUDO VICARÍAS P. P.;Baja;9232;Río
MONZÓN;Alta;9301;Río
MORATA DE JILOCA;Alta;9055;Río
MUEZ;Baja;9151;Río
NAJERILLA - DERECHA;Alta;9459;Conduccion
NAJERILLA - IZQUIERDA;Alta;9460;Conduccion
NAVARRETE DEL RÍO;Alta;9041;Río
NOALES;Baja;9136;Río
NONASPE;Alta;9176;Río
NOVILLAS;Alta;9285;Río
NUÉVALOS;Alta;9008;Río
OLAVE;Alta;9067;Río
OLIANA;Alta;9083;Río
OLIANA;Alta;9862;Embalse
OLIETE;Alta;9118;Río
OLIETE;Alta;9262;Río
OMDÁTEGUI;Baja;9224;Río
ONDÁTEGUI;Baja;9223;Río
OÑA;Alta;9093;Río
ORBAICETA;Alta;9076;Río
ORGAÑA;Alta;9111;Río
ORIGEN C. NAVARRA;Alta;9468;Conduccion
ORÓN;Alta;9189;Río
ORTIGOSA;Alta;9039;Río
ORTILLA;Alta;9255;Río
OZA;Alta;9234;Río
PAJARES;Alta;9806;Embalse
PALAZUELOS;Alta;9161;Río
PAMPLONA;Alta;9270;Río
PANTICOSA;Baja;9160;Río
PENA;Alta;9821;Embalse
PEÑARROYA DE TASTAVINS;Alta;9154;Río
PERALTA DE ALCOFEA;Alta;9032;Río
PERALTA DE ALCOFEA;Alta;9033;Río
PERALTA DE LA SAL;Alta;9299;Río
PIGNATELLI;Baja;9162;Río
PINETA;Baja;9845;Embalse
PIÑANA;Alta;9097;Río
PIÑANA - INDUSTRIAL;Baja;9415;Conduccion
PIÑANA - REGADÍO;Alta;9445;Conduccion
PITARQUE;Alta;9088;Río
PLANDESCUN;Baja;9849;Embalse
POMPENILLO;Baja;9218;Río
PONS;Baja;9114;Río
PONT DE SUERT;Alta;9137;Río
P.P. YESA;Alta;9101;Río
PUENDELUNA - MARRACOS ( CENTRAL );Baja;9452;Conduccion
PUENTE DE LAS PILAS;Alta;9293;Río
PUENTE DE MONTAÑANA;Alta;9115;Río
PUENTELARRA;Baja;9220;Río
PUIGCERDÁ;Alta;9020;Río
PUIGCERDÁ;Alta;9021;Río
PUIGCERDÁ;Baja;9420;Conduccion
QUICENA;Alta;9190;Río
RABAL;Baja;9451;Conduccion
REINOSA;Alta;9178;Río
REINOSA;Alta;9203;Río
REVERSIONES;Baja;9173;Río
RIALB;Alta;9876;Embalse
RIBARROJA;Baja;9210;Río
RIBARROJA;Alta;9804;Embalse
RIEZU;Alta;9085;Río
RÍO MATARRAÑA;Baja;9465;Conduccion
RUEDA DE JALÓN;Baja;9476;Conduccion
SABIÑÁNIGO;Alta;9312;Río
SABIÑÁNIGO (GÁLLEGO);Alta;9319;Río
SÁDABA;Alta;9186;Río
SALLENT DE GÁLLEGO;Alta;9309;Río
SALLENT DE GÁLLEGO (AGUAS LIMPIAS);Alta;9310;Río
SALLENTE P. P.;Baja;9274;Río
SAN BARTOLOMÉ;Alta;9824;Embalse
SANGÜESA;Alta;9073;Río
SAN LORENZO MONGAY;Alta;9861;Embalse
SAN MIGUEL DE PEDROSO;Alta;9158;Río
SAN PEDRO MANRIQUE;Alta;9043;Río
SANTA ANA;Alta;9852;Embalse
SANTA FE;Baja;9245;Río
SANTA MARÍA DE BELSUÉ;Alta;9842;Embalse
SANTOLEA;Alta;9030;Río
SANTOLEA;Alta;9818;Embalse
SANTOLEA - P. P.;Alta;9106;Río
SÁSTAGO;Baja;9112;Río
SEO DE URGEL;Alta;9022;Río
SEO DE URGEL;Alta;9023;Río
SERÓS;Alta;9025;Río
SERÓS ( CENTRAL );Baja;9413;Conduccion
SIÉTAMO;Alta;9192;Río
SIGÜÉS;Alta;9063;Río
SOBRÓN;Alta;9805;Embalse
SOPEIRA;Baja;9119;Río
STA. EULALIA DE GÁLLEGO;Alta;9059;Río
TABESCÁN;Baja;9144;Río
TALARN O TREMP;Alta;9858;Embalse
TAUSTE;Alta;9260;Río
TAUSTE;Alta;9402;Conduccion
TERRADETS;Alta;9859;Embalse
TIRVIA;Alta;9265;Río
TORLA;Baja;9196;Río
TORREMONTALVO;Alta;9038;Río
TORTOSA;Alta;9027;Río
TRANQUERA - C. E.;Alta;9129;Río
TRANQUERA - DERECHA;Baja;9434;Conduccion
TRANQUERA - IZQUIERDA;Baja;9435;Conduccion
TRASOBARES;Alta;9261;Río
TRESPADERNE;Alta;9092;Río
TUDELA;Alta;9175;Río
TUDELA;Alta;9284;Río
ULLIVARRI;Baja;9107;Río
ULLIVARRI;Alta;9827;Embalse
ULLIVARRI - URRUNAGA ( TRASVASE );Alta;9422;Conduccion
UNCASTILLO;Alta;9305;Río
URBINA;Alta;9318;Río
URDALUR;Alta;9874;Embalse
URDÁN;Baja;9453;Conduccion
URGEL;Alta;9411;Conduccion
URGEL ( AUXILIAR );Alta;9412;Conduccion
URROZ;Alta;9079;Río
URRUNAGA;Baja;9108;Río
URRUNAGA;Alta;9828;Embalse
URRUNAGA - ULLIVARRI;Baja;9423;Conduccion
VADIELLO;Alta;9841;Embalse
VAL;Alta;9871;Embalse
VALBORNEDO;Baja;9810;Embalse
VALDELATEJA;Alta;9279;Río
VALDERROBLES;Alta;9109;Río
VALDERROBRES;Alta;9113;Río
VALLE DE ARÁN ( SISTEMA );Baja;9853;Embalse
VALL FERRERA - LLADORRE;Baja;9456;Conduccion
VALMUEL - DERECHA;Alta;9438;Conduccion
VALMUEL - IZQUIERDA;Alta;9439;Conduccion
VILLANUEVA DE LA BARCA;Baja;9183;Río
VILLARCAYO;Alta;9283;Río
VILLORES;Alta;9302;Río
VILLOSLADA DE CAMEROS;Alta;9035;Río
VIRUÉS;Alta;9166;Río
VITORIA;Alta;9314;Río
VITORIA - ABETXUKO;Alta;9317;Río
VITORIA N-I;Alta;9316;Río
YANGUAS;Alta;9044;Río
YESA;Alta;9829;Embalse
YESA C.E.;Alta;9170;Río
ZADORRA - CANTÁBRICO;Alta;9424;Conduccion
ZAIDÍN;Alta;9225;Río
ZAIDÍN;Alta;9447;Conduccion
ZARAGOZA;Alta;9011;Río
ZARAGOZA;Alta;9089;Río
ZARAGOZA;Alta;9216;Río
ZARAGOZA RONDA NORTE;Alta;9311;Río
ZORITA;Alta;9031;Río
ZUERA;Alta;9209;Río
ZUERA;Alta;9229;Río
ZURIZA;Alta;9080;Río
