Estación;Estado;Código ROEA;Situación
Sena de Luna;Alta;2532;Río
SEPÚLVEDA;Alta;2012;Río
SIMANCAS;Baja;2045;Río
SISTEMA MONCABRIL;Alta;2028;Embalse
SOTOPALACIOS;Baja;2125;Río
STA. CRISTINA DE LA POLVOROSA;Alta;2079;Río
STA. EULALIA DE RIONEGRO;Alta;2113;Río
TARAZONA DE GUAREÑA;Baja;2127;Río
TARDAJOS DE DUERO;Alta;2162;Río
TOLIBIA DE ABAJO;Alta;2063;Río
TORO-DUERO;Alta;2062;Río
TORO-GUAREÑA;Alta;2129;Río
Torre de Esgueva;Alta;2528;Río
Triollo;Alta;2512;Río
UCERO;Alta;2154;Río
Uzquiza;Alta;2009;Evaporimetrica
UZQUIZA;Alta;2010;Embalse
VADILLO DE LA GUAREÑA;Baja;2128;Río
Vadocondes;Alta;2522;Río
Valderas;Alta;2516;Río
VALDESTILLAS;Alta;2056;Río
VALENCIA DE DON JUAN;Baja;2117;Río
VALLADOLID-ESGUEVA;Alta;2044;Río
VALLADOLID-PISUERGA;Alta;2097;Río
VALPARAÍSO;Alta;2033;Embalse
Valsaín;Alta;2525;Río
Vegacerneja;Alta;2535;Río
Vegalatrave;Alta;2155;Río
VELILLA DE GUARDO;Baja;2038;Río
Velilla de la Valduerna;Alta;2520;Río
Ventanilla;Alta;2539;Río
VILLABÁÑEZ;Baja;2142;Río
VILLACHICA O SAN ANDRÉS;Baja;2096;Río
VILLAESCUSA DE LAS TORRES;Alta;2131;Río
VILLAFER;Baja;2069;Río
VILLAGODIO - 2;Baja;2148;Río
VILLAGODIO ( PUENTE);Baja;2064;Río
Villagonzalo;Alta;2015;Evaporimetrica
VILLALCAMPO;Alta;2002;Embalse
VILLALCÁZAR DE SIRGA;Alta;2041;Río
VILLALLANO;Alta;2136;Río
VILLALOBAR;Alta;2710;Río
VILLAMANÍN;Alta;2098;Río
Villameca;Alta;2013;Evaporimetrica
VILLAMECA;Alta;2027;Embalse
VILLANUEVA DE LOS INFANTES;Alta;2025;Río
VILLÁRDIGA;Alta;2126;Río
VILLAVERDE DE ARCAYOS;Alta;2104;Río
VILLAVEZA DE VALVERDE;Alta;2717;Río
VILLOLDO;Alta;2040;Río
VILLOMAR;Alta;2111;Río
VILLOVELA DE PIRÓN;Alta;2057;Río
VINUESA;Alta;2000;Río
Zamarra;Alta;2501;Río
ZAMORA;Alta;2121;Río
ZUZONES;Baja;2908;Río
